"Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK"
"2010-12-31,2.700871649050232,3.4570267248961355,3.24544423113013,6.132387978834468,3.777583351078771,2.500965680799087,3.6558256390216815,5.116507591780843,5.392361202385845,7.25033953610734,6.240009832401843,3.1304659504337984,4.49789371490868,5.545844581164388,5.216623292214609,3.9301297265593766,4.9230305151895015,6.2175957923287815,5.646975628401818,3.262798449994296,,5.979778736940623,5.704410948268268,5.966779931997735,3.067780859399541,2.736053979044528,,6.383090050787665,4.3749862964383714,5.991360696392722,4.94445163318493,4.067297058219177,4.141046213418959,5.33773716662101,3.3148363799577547,4.299078707586765,3.2766325894520403,6.3486214051027146"
"2011-12-31,2.5458693048470398,3.278301609761418,3.0073888865399483,6.453164626481724,3.4984245380285364,2.296494360945204,3.5420822939303656,5.027448408869854,5.627256456735173,7.913178236952099,6.885414736883556,3.0428081155582194,4.155780432294513,5.909596689817341,5.0189560430821905,3.7046579915468065,4.51281025491436,7.100321613550229,6.492097756757971,3.0204044299999917,,6.394352565336782,5.673543012270569,6.572190152152967,2.766329192028533,2.578021051609591,,6.947739619608444,4.872562771369876,6.117197148881259,4.554742093707756,3.797900807448618,3.782834437720311,5.864630451735151,3.1492335918447436,4.062760918576484,3.154969749703201,7.129154451929198"
"2012-12-31,2.619286531566488,3.4626047623679392,3.210567636908019,6.463181102762975,3.8210244917292777,2.548440016879555,3.6802520056238412,5.209354445716081,5.631141993306008,7.788725099413722,6.711052770355224,3.1791014913160285,4.372688226730431,5.808305217907557,5.333312755327872,4.0072833644546755,4.955185279758646,6.815433430396162,6.102298935993835,3.2555600217281477,,6.24902723621356,5.909522652432838,6.361723590943752,2.915161331122512,2.7159265310633254,,6.793714172242689,4.692394339936267,5.990356324339694,4.612508097682146,4.007369370138884,4.038187538773908,5.593432255510035,3.448795324600397,4.319218766632515,3.261947775398465,6.820835044922573"
"2013-12-31,2.6341899612146142,3.383825258340198,3.1142805761586696,6.422962300620975,3.793980852658666,2.4588720178630137,3.9242940820205545,5.097346305218059,5.4798738940981915,7.50302481650683,6.330625707264862,3.168975478127846,4.66721767951367,5.826763930057092,5.302008909394983,3.833182219605044,4.8652565129395065,7.051637933304792,6.020576506253423,3.1830198143630115,,5.931729041077609,5.811632679131275,6.000461242751148,2.995325649514849,2.7348942390137028,,6.801007434765982,4.627716484600458,5.87448642148404,4.963901108760271,4.079265497625561,4.031034967961188,5.645368213276232,3.2663960884223853,4.281022027398412,3.374478066073061,7.106371149041081"
"2014-12-31,2.485328484218031,3.323805874436077,3.0100259754463305,6.422814931716915,3.568211988093608,2.362109740041099,3.5081858763709945,4.975948444646113,5.362834081552522,7.679487033470308,6.277799156752306,2.944048684318506,4.5649328535958915,5.618665111769418,5.224914407363015,3.822184080009132,4.694135566328757,6.8689266489497625,6.192355053869847,3.0895920279177993,,6.082372218944069,5.615137784160997,6.101164244904079,2.748378759892692,2.5071974860205417,,6.769259403563925,4.740777017522835,5.914850303458888,4.9594992206289925,3.985862739052502,3.930719914772828,5.514544281278534,3.2819317467180453,4.134345174121013,3.1596428291849215,6.955618355513706"
"2015-12-31,2.493524811432635,3.4133563535890397,3.079251611743148,6.767077435251125,3.7478575197511548,2.3928404649566266,3.7232115433070647,5.256502196462317,5.724845818847033,8.205080262568499,6.808932116055927,3.0737277624954458,4.246399253276255,6.151741236815048,5.289012649075329,3.9000945428504683,4.729622338692914,7.332414100412094,6.715473193515958,3.084373232148414,,6.351094438550212,6.023859381235184,6.4386772884702905,2.773848996337904,2.6049426987568394,,7.208049982363021,4.991025718493126,6.243193541027404,4.6715535485844555,3.9794028124315157,3.8341134908219154,6.027017850890405,3.336885912647272,4.241427178141571,3.232151333424666,7.421932292614177"
"2016-12-31,2.611094462390713,3.3021864969580985,3.179788293941255,6.325384459895269,3.8677307963285594,2.3459379199840567,3.717960811125909,4.9209509759335415,5.3341978797359,7.443083331306924,6.417192059729025,3.161420643424392,4.364267302959937,5.552543710689908,5.125109575785535,3.9012267722654754,4.757381420783232,6.809332666469709,5.774604717486308,3.2287572763672667,,6.065129716968343,5.64899213518441,6.159473164731327,2.9499442308686143,2.693628818599743,,6.611829254030065,4.471384254451285,5.854523967281417,4.894365537181233,4.037603247108374,3.9492868964879513,5.478844339344248,3.284082646179412,4.104719669302147,3.407225447910969,6.764674813683989"
"2017-12-31,2.6373834641232863,3.552072458850468,3.314466386877859,6.316434223115292,3.922009417537674,2.4338489155536505,3.5390367313036473,5.325721636133549,5.646562633253414,7.8132616925239535,6.606370939703193,3.1009411275627867,4.26603489020547,5.7538094157876785,5.164253073470327,4.06736974377969,5.062156850820792,6.911712839684903,5.986328782831044,3.2482887044086683,,6.213824482100486,5.71531199099657,6.337275360862997,3.007240182313929,2.735557935871003,,6.7247745227785325,4.701675553230611,6.358995071575328,4.751456167157523,4.179715790102747,4.116884849979467,5.729339470764861,3.395455117391556,4.437502664511405,3.2546934405822006,7.06290889571919"
"2018-12-31,2.57652067411073,3.3427009138492965,3.0054539229588966,6.286865100703214,3.684167822337904,2.4224697676552487,3.649380968125573,5.155012298162097,5.440527835159822,7.390893444771704,6.28629581908676,3.1206542380833224,4.370689431694056,5.675350758162101,5.189113455810492,3.756481401200908,4.680074085264858,6.860633260918955,6.234890388721459,3.1475730242580022,,5.805851755611883,5.741166921288816,5.964456497648423,2.7826093257922344,2.540811795525095,,6.721113952768259,4.596291270228318,5.871178501552505,4.773406201931509,3.8682763799200792,3.9896365492694135,5.461465039052516,3.1660249223744157,4.206189774945181,3.209308274349316,6.889313583436102"
"2019-12-31,2.668785859876683,3.52695415173213,3.2622102989974984,6.596629311098422,3.6969658296060794,2.5415998230246717,3.718352963553316,5.287168793366088,5.682750832164898,7.6974763723452755,6.715997244256685,3.165764766349615,4.559281251210324,5.804134998606957,5.426650859111664,3.943988911861143,4.982802480246636,6.943734108712042,6.095734853206225,3.326826913907279,,6.4180626271180685,5.980300817417196,6.437666033124002,3.067200178299829,2.7525472094416625,,6.952143280223784,4.515307616864552,6.3449222950559525,4.936953239449663,3.972872295375675,4.022604562886513,5.585871033009827,3.3115110443868496,4.458289248119404,3.243609835989957,6.846970663439154"
"2020-12-31,2.627384811846539,3.3036977192998815,3.2129881454018525,6.885818148849009,3.781982517971322,2.4375829125808344,3.732358641092894,5.118031691339921,5.681971900284612,7.813995263706718,7.22098024980305,3.188527213641855,4.279046834670973,6.205689278825111,5.470769036805543,3.9227514722005874,4.7844222175967746,7.319241720685303,6.6417132370970355,3.100047998189893,,6.519464003373189,6.147821502982691,6.7644679159608385,2.9337963970719505,2.692562941368385,,7.202960138080588,4.989930765118411,6.226327756409386,4.630261295086516,3.964993127276846,3.967036233423277,6.018750842395267,3.3299982901263734,4.235067178777333,3.269607344808712,7.349164699965879"
"2021-12-31,2.6331410385099434,3.346240885015432,3.307301051275719,6.209190297122755,3.7792904203120674,2.5021950232115904,3.8081956070593472,4.784766915397788,5.270443447067908,6.9540106626543325,6.417433799271267,3.192177341392325,4.38681437804699,5.622891789094648,5.256043347359391,3.9226045127794906,4.821650672805196,6.1957291550411675,5.752622979250681,3.248933509310705,,5.871718205606984,5.771937529123786,6.061200192851508,3.0038980511591316,2.805918209650199,,6.418228713871753,4.368184866220858,5.661784331755837,4.76822729501028,3.9767240768004233,3.9564195813957457,5.441683223045272,3.212539776364893,4.145961364480454,3.603205710733878,6.163939841169414"
